TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Other Theft,2014,7,21,18,8,34XX KINGSWAY AVE,Renfrew-Collingwood,497691.24,5453254.86,49.23206958,-123.0317128
Theft from Vehicle,2005,8,14,2,0,12XX HAMILTON ST,Central Business District,491042.55,5457978.68,49.27450011,-123.1231439
Offence Against a Person,2010,10,30,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft of Bicycle,2013,7,14,20,0,8XX GRANVILLE ST,Central Business District,491211.59,5458660.52,49.28063582,-123.1208349
Theft of Bicycle,2016,5,19,14,0,37XX COMMERCIAL ST,Kensington-Cedar Cottage,495048.71,5455376.65,49.2511399,-123.0680365
Other Theft,2010,10,4,15,32,25XX GRANVILLE ST,Fairview,489914.32,5456758.47,49.26350654,-123.1386236
Offence Against a Person,2008,4,18,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft of Vehicle,2008,2,23,20,30,1XX E 8TH AVE,Mount Pleasant,492517.96,5456774.66,49.26368957,-123.102838
Break and Enter Residential/Other,2008,1,27,16,25,6XX E 14TH AVE,Mount Pleasant,493422.69,5456130.53,49.25790589,-123.0903922
Offence Against a Person,2016,2,21,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2003,5,27,15,45,34XX KINGSWAY AVE,Renfrew-Collingwood,497635.74,5453285.35,49.23234363,-123.0324753
Offence Against a Person,2015,9,21,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2013,7,21,20,30,37XX WINDSOR ST,Kensington-Cedar Cottage,493897.06,5455441.89,49.25171635,-123.0838624
Theft from Vehicle,2013,12,9,20,0,14XX W GEORGIA ST,West End,490628.93,5459632.79,49.28937288,-123.1288689
Break and Enter Residential/Other,2010,8,13,19,15,58XX BALSAM ST,Kerrisdale,488247.29,5453448.62,49.23370405,-123.161439
Mischief,2009,11,6,16,37,BOUNDARY RD / GRANDVIEW HWY,Renfrew-Collingwood,498269.1,5456155.92,49.25816719,-123.0237879
Break and Enter Residential/Other,2012,6,29,7,59,27XX TURNER ST,Hastings-Sunrise,496569.37,5458488.42,49.27914131,-123.0471675
Break and Enter Residential/Other,2003,9,5,12,0,20XX E PENDER ST,Grandview-Woodland,495444.67,5458615.82,49.28027995,-123.0626324
Theft from Vehicle,2009,9,22,1,45,36XX WELLINGTON AVE,Renfrew-Collingwood,498025.82,5454000.59,49.23877877,-123.0271207
Theft from Vehicle,2006,3,8,23,0,3XX E 6TH AVE,Mount Pleasant,492827.93,5456966.65,49.26542027,-123.098581
Theft from Vehicle,2005,5,8,23,0,14XX W GEORGIA ST,West End,490652.49,5459608.89,49.28915826,-123.1285444
Other Theft,2004,12,9,15,15,2X W 2ND AVE,Mount Pleasant,492338.8,5457389.16,49.26921489,-123.1053122
Offence Against a Person,2005,12,31,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2011,9,14,21,0,9XX BURRARD ST,Central Business District,490952.14,5458832.44,49.28217849,-123.1244061
